drink_name,drink_price,restaurant_genre,restaurant_name,restaurant_address,restaurant_tel,restaurant_latitude,restaurant_longitude,restaurant_url
日本酒,,割・烹・・・小・料・理・、・懐・石・・・会・席・料・理,東茶屋 なかむら,大阪府 大阪市北区 本庄東 1-25-8,06-6147-3686,34.7120828,135.5068177,https://tabelog.com/osaka/A2701/A270103/27113956/dtlmenu/drink/
芋焼酎,,割・烹・・・小・料・理・、・懐・石・・・会・席・料・理,東茶屋 なかむら,大阪府 大阪市北区 本庄東 1-25-8,06-6147-3686,34.7120828,135.5068177,https://tabelog.com/osaka/A2701/A270103/27113956/dtlmenu/drink/
麦焼酎,,割・烹・・・小・料・理・、・懐・石・・・会・席・料・理,東茶屋 なかむら,大阪府 大阪市北区 本庄東 1-25-8,06-6147-3686,34.7120828,135.5068177,https://tabelog.com/osaka/A2701/A270103/27113956/dtlmenu/drink/
米焼酎,,割・烹・・・小・料・理・、・懐・石・・・会・席・料・理,東茶屋 なかむら,大阪府 大阪市北区 本庄東 1-25-8,06-6147-3686,34.7120828,135.5068177,https://tabelog.com/osaka/A2701/A270103/27113956/dtlmenu/drink/
梅酒,,割・烹・・・小・料・理・、・懐・石・・・会・席・料・理,東茶屋 なかむら,大阪府 大阪市北区 本庄東 1-25-8,06-6147-3686,34.7120828,135.5068177,https://tabelog.com/osaka/A2701/A270103/27113956/dtlmenu/drink/
ウイスキー,,割・烹・・・小・料・理・、・懐・石・・・会・席・料・理,東茶屋 なかむら,大阪府 大阪市北区 本庄東 1-25-8,06-6147-3686,34.7120828,135.5068177,https://tabelog.com/osaka/A2701/A270103/27113956/dtlmenu/drink/
ボトル・グラスのご用意ございます,,割・烹・・・小・料・理・、・懐・石・・・会・席・料・理,東茶屋 なかむら,大阪府 大阪市北区 本庄東 1-25-8,06-6147-3686,34.7120828,135.5068177,https://tabelog.com/osaka/A2701/A270103/27113956/dtlmenu/drink/
ボトル・グラスのご用意ございます,,割・烹・・・小・料・理・、・懐・石・・・会・席・料・理,東茶屋 なかむら,大阪府 大阪市北区 本庄東 1-25-8,06-6147-3686,34.7120828,135.5068177,https://tabelog.com/osaka/A2701/A270103/27113956/dtlmenu/drink/
Vino Degustazione ペアリングワインコース,,イ・タ・リ・ア・ン,クイントカント,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館  1F,050-5570-5516,34.6932271,135.4928343,https://tabelog.com/osaka/A2701/A270108/27073813/dtlmenu/drink/
Mimosa Rossa,,イ・タ・リ・ア・ン,クイントカント,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館  1F,050-5570-5516,34.6932271,135.4928343,https://tabelog.com/osaka/A2701/A270108/27073813/dtlmenu/drink/
Bellini,,イ・タ・リ・ア・ン,クイントカント,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館  1F,050-5570-5516,34.6932271,135.4928343,https://tabelog.com/osaka/A2701/A270108/27073813/dtlmenu/drink/
Kir Royal,,イ・タ・リ・ア・ン,クイントカント,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館  1F,050-5570-5516,34.6932271,135.4928343,https://tabelog.com/osaka/A2701/A270108/27073813/dtlmenu/drink/
Premium Malt’s (334ml),,イ・タ・リ・ア・ン,クイントカント,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館  1F,050-5570-5516,34.6932271,135.4928343,https://tabelog.com/osaka/A2701/A270108/27073813/dtlmenu/drink/
MINOHO Birra,,イ・タ・リ・ア・ン,クイントカント,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館  1F,050-5570-5516,34.6932271,135.4928343,https://tabelog.com/osaka/A2701/A270108/27073813/dtlmenu/drink/
Galvanina (355ml),,イ・タ・リ・ア・ン,クイントカント,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館  1F,050-5570-5516,34.6932271,135.4928343,https://tabelog.com/osaka/A2701/A270108/27073813/dtlmenu/drink/
Bibita allo Zenzero,,イ・タ・リ・ア・ン,クイントカント,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館  1F,050-5570-5516,34.6932271,135.4928343,https://tabelog.com/osaka/A2701/A270108/27073813/dtlmenu/drink/
Succo,,イ・タ・リ・ア・ン,クイントカント,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館  1F,050-5570-5516,34.6932271,135.4928343,https://tabelog.com/osaka/A2701/A270108/27073813/dtlmenu/drink/
Birra analcolico,,イ・タ・リ・ア・ン,クイントカント,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館  1F,050-5570-5516,34.6932271,135.4928343,https://tabelog.com/osaka/A2701/A270108/27073813/dtlmenu/drink/
Vino analcolico (Bianco o Rosso),,イ・タ・リ・ア・ン,クイントカント,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館  1F,050-5570-5516,34.6932271,135.4928343,https://tabelog.com/osaka/A2701/A270108/27073813/dtlmenu/drink/
Acqua (Naturale o Frizzante),,イ・タ・リ・ア・ン,クイントカント,大阪府 大阪市北区 中之島 3-6-32 ダイビル本館  1F,050-5570-5516,34.6932271,135.4928343,https://tabelog.com/osaka/A2701/A270108/27073813/dtlmenu/drink/
日本酒好きにはたまらない銘柄を取揃えております。,,寿・司,髙橋 謙太郎,大阪府 大阪市北区 曽根崎新地 1-7-5 バサラビル 4Ｆ,050-3134-3336,34.6982594,135.4988228,https://tabelog.com/osaka/A2701/A270101/27087204/dtlmenu/drink/
ビール(中瓶),500,う・ど・ん・、・天・ぷ・ら・・・揚・げ・物・（・そ・の・他・）,たけうちうどん店,大阪府 大阪市北区 豊崎 5-2-19,,34.7125227,135.4996484,https://tabelog.com/osaka/A2701/A270101/27006684/dtlmenu/drink/
チューハイ(レモン),380,う・ど・ん・、・天・ぷ・ら・・・揚・げ・物・（・そ・の・他・）,たけうちうどん店,大阪府 大阪市北区 豊崎 5-2-19,,34.7125227,135.4996484,https://tabelog.com/osaka/A2701/A270101/27006684/dtlmenu/drink/
ハイボール,380,う・ど・ん・、・天・ぷ・ら・・・揚・げ・物・（・そ・の・他・）,たけうちうどん店,大阪府 大阪市北区 豊崎 5-2-19,,34.7125227,135.4996484,https://tabelog.com/osaka/A2701/A270101/27006684/dtlmenu/drink/
グラス シャンパーニュ,,ス・テ・ー・キ・、・イ・タ・リ・ア・ン・、・ワ・イ・ン・バ・ー,北新地 福多亭,大阪府 大阪市北区 曽根崎新地 1丁目11-19 北新地スタービル Ｂ１,050-5590-9136,34.6982594,135.4988228,https://tabelog.com/osaka/A2701/A270101/27066944/dtlmenu/drink/
グラス 白ワイン,,ス・テ・ー・キ・、・イ・タ・リ・ア・ン・、・ワ・イ・ン・バ・ー,北新地 福多亭,大阪府 大阪市北区 曽根崎新地 1丁目11-19 北新地スタービル Ｂ１,050-5590-9136,34.6982594,135.4988228,https://tabelog.com/osaka/A2701/A270101/27066944/dtlmenu/drink/
グラス 赤ワイン,,ス・テ・ー・キ・、・イ・タ・リ・ア・ン・、・ワ・イ・ン・バ・ー,北新地 福多亭,大阪府 大阪市北区 曽根崎新地 1丁目11-19 北新地スタービル Ｂ１,050-5590-9136,34.6982594,135.4988228,https://tabelog.com/osaka/A2701/A270101/27066944/dtlmenu/drink/
※ボトルワインの詳細は店舗にてスタッフにご確認下さい。,,ス・テ・ー・キ・、・イ・タ・リ・ア・ン・、・ワ・イ・ン・バ・ー,北新地 福多亭,大阪府 大阪市北区 曽根崎新地 1丁目11-19 北新地スタービル Ｂ１,050-5590-9136,34.6982594,135.4988228,https://tabelog.com/osaka/A2701/A270101/27066944/dtlmenu/drink/
ワイン各種,,イ・ノ・ベ・ー・テ・ィ・ブ・・・フ・ュ・ー・ジ・ョ・ン・、・イ・タ・リ・ア・ン・、・魚・介・料・理・・・海・鮮・料・理,十皿,大阪府 大阪市北区 西天満 2-7-26 徳矢ビル 1F,06-7709-1283,34.6959418,135.5021224,https://tabelog.com/osaka/A2701/A270101/27106878/dtlmenu/drink/
瓶ビール,500,う・ど・ん・、・天・ぷ・ら,うどん屋 きすけ,大阪府 大阪市北区 鶴野町 4-1 コープ野村梅田Ａ棟1F,,34.708723,135.5015517,https://tabelog.com/osaka/A2701/A270101/27015342/dtlmenu/drink/
焼酎（麦・芋）,500,う・ど・ん・、・天・ぷ・ら,うどん屋 きすけ,大阪府 大阪市北区 鶴野町 4-1 コープ野村梅田Ａ棟1F,,34.708723,135.5015517,https://tabelog.com/osaka/A2701/A270101/27015342/dtlmenu/drink/
コーラ,300,う・ど・ん・、・天・ぷ・ら,うどん屋 きすけ,大阪府 大阪市北区 鶴野町 4-1 コープ野村梅田Ａ棟1F,,34.708723,135.5015517,https://tabelog.com/osaka/A2701/A270101/27015342/dtlmenu/drink/
ジンジャーエール,300,う・ど・ん・、・天・ぷ・ら,うどん屋 きすけ,大阪府 大阪市北区 鶴野町 4-1 コープ野村梅田Ａ棟1F,,34.708723,135.5015517,https://tabelog.com/osaka/A2701/A270101/27015342/dtlmenu/drink/
オレンジジュース,300,う・ど・ん・、・天・ぷ・ら,うどん屋 きすけ,大阪府 大阪市北区 鶴野町 4-1 コープ野村梅田Ａ棟1F,,34.708723,135.5015517,https://tabelog.com/osaka/A2701/A270101/27015342/dtlmenu/drink/
烏龍茶,300,う・ど・ん・、・天・ぷ・ら,うどん屋 きすけ,大阪府 大阪市北区 鶴野町 4-1 コープ野村梅田Ａ棟1F,,34.708723,135.5015517,https://tabelog.com/osaka/A2701/A270101/27015342/dtlmenu/drink/
サントリー「マスターズ・ドリーム」,700,く・じ・ら・料・理・、・鍋・（・そ・の・他・）・、・魚・介・料・理・・・海・鮮・料・理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
チューハイ,,く・じ・ら・料・理・、・鍋・（・そ・の・他・）・、・魚・介・料・理・・・海・鮮・料・理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
伊丹老松,,く・じ・ら・料・理・、・鍋・（・そ・の・他・）・、・魚・介・料・理・・・海・鮮・料・理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
全国各地の地酒を月替わりに楽しめます,,く・じ・ら・料・理・、・鍋・（・そ・の・他・）・、・魚・介・料・理・・・海・鮮・料・理,どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,050-5456-7448,,,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/
