menu,price,genre,name,adress,tel,lat,lng,url
1リットル スーパードライ,1000,居酒屋、魚介料理・海鮮料理、おでん,茶屋町 まぐろや,大阪府 大阪市北区 芝田 1-15-7,06-6373-3676,34.7084332,135.4969484,https://tabelog.com/osaka/A2701/A270101/27017935/dtlmenu/drink/
<ドイツビール>ホフブロイ・ミュンヘン ラガーStyle ALC 5.5%,950,居酒屋、イタリアン、焼鳥,串焼き&ワイン ウナチッタ,大阪府 大阪市北区 曾根崎2-10-19 河合ビル B1F,050-5869-3208,34.7006896,135.5008728,https://tabelog.com/osaka/A2701/A270101/27058323/dtlmenu/drink/
<瓶ビール>サッポロ 赤星 中瓶,550,ダイニングバー、イタリアン、居酒屋,ワインとオマール海老の店 UOMO,大阪府 大阪市北区 梅田 1-1-3 大阪駅前第3ビル  B1F,050-5872-6838,34.6988257,135.4992804,https://tabelog.com/osaka/A2701/A270101/27061208/dtlmenu/drink/
<生ビール>アサヒエクストラコールド,935,懐石・会席料理、割烹・小料理、天ぷら,北瑞苑,大阪府 大阪市北区 曽根崎新地 2-3-21 ａｘビル　３Ｆ,050-5868-3897,34.6979945,135.4945578,https://tabelog.com/osaka/A2701/A270101/27000742/dtlmenu/drink/
<生ビール>ザ・プレミアム・モルツ 香るエール,550,ダイニングバー、イタリアン、居酒屋,ワインとオマール海老の店 UOMO,大阪府 大阪市北区 梅田 1-1-3 大阪駅前第3ビル  B1F,050-5872-6838,34.6988257,135.4992804,https://tabelog.com/osaka/A2701/A270101/27061208/dtlmenu/drink/
■キリン一番搾り,900,ステーキ、アメリカ料理、バー,THE COSMOPOLITAN GRILL BAR TERRACE,大阪府 大阪市北区 大深町 4-20 グランフロント大阪 南館 9F,050-5595-0903,34.7053491,135.4945979,https://tabelog.com/osaka/A2701/A270101/27072553/dtlmenu/drink/
■ギネススタウト,1050,ステーキ、アメリカ料理、バー,THE COSMOPOLITAN GRILL BAR TERRACE,大阪府 大阪市北区 大深町 4-20 グランフロント大阪 南館 9F,050-5595-0903,34.7053491,135.4945979,https://tabelog.com/osaka/A2701/A270101/27072553/dtlmenu/drink/
■コロナ エキストラ,1000,ステーキ、アメリカ料理、バー,THE COSMOPOLITAN GRILL BAR TERRACE,大阪府 大阪市北区 大深町 4-20 グランフロント大阪 南館 9F,050-5595-0903,34.7053491,135.4945979,https://tabelog.com/osaka/A2701/A270101/27072553/dtlmenu/drink/
■ハイネケン,1000,ステーキ、アメリカ料理、バー,THE COSMOPOLITAN GRILL BAR TERRACE,大阪府 大阪市北区 大深町 4-20 グランフロント大阪 南館 9F,050-5595-0903,34.7053491,135.4945979,https://tabelog.com/osaka/A2701/A270101/27072553/dtlmenu/drink/
■バドワイザー,900,ステーキ、アメリカ料理、バー,THE COSMOPOLITAN GRILL BAR TERRACE,大阪府 大阪市北区 大深町 4-20 グランフロント大阪 南館 9F,050-5595-0903,34.7053491,135.4945979,https://tabelog.com/osaka/A2701/A270101/27072553/dtlmenu/drink/
