menu,price,genre,name,adress,tel,lat,lng,url
NV キュヴェ・シナチュール・ブリュット,9500,割烹・小料理、懐石・会席料理,東茶屋 なかむら,大阪府 大阪市北区 本庄東 1-25-8,06-6147-3686,34.7120828,135.5068177,https://tabelog.com/osaka/A2701/A270103/27113956/dtlmenu/drink/
NV オーダス・ロゼ・ブリュット,12000,割烹・小料理、懐石・会席料理,東茶屋 なかむら,大阪府 大阪市北区 本庄東 1-25-8,06-6147-3686,34.7120828,135.5068177,https://tabelog.com/osaka/A2701/A270103/27113956/dtlmenu/drink/
2011 ブジー・ブリュット・ミレジメ,15000,割烹・小料理、懐石・会席料理,東茶屋 なかむら,大阪府 大阪市北区 本庄東 1-25-8,06-6147-3686,34.7120828,135.5068177,https://tabelog.com/osaka/A2701/A270103/27113956/dtlmenu/drink/
1990 ブリュット・ミレジメ・キュヴェ・メロディ,19000,割烹・小料理、懐石・会席料理,東茶屋 なかむら,大阪府 大阪市北区 本庄東 1-25-8,06-6147-3686,34.7120828,135.5068177,https://tabelog.com/osaka/A2701/A270103/27113956/dtlmenu/drink/
しまなみスパークリング 岩城島産レモン ～Citron～,990,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
しまなみスパークリング 愛媛県産きよみ ～Mandarine～,990,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
アサヒ生ビール マルエフ,770,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
キリン ハートランド（小瓶）,660,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
アサヒ ドライゼロ（ノンアルコールビール）,660,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
シングルモルト余市,880,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
ザ・マッカラン12年,1320,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
