drink_name,drink_price,restaurant_genre,restaurant_name,restaurant_address,restaurant_tel,restaurant_latitude,restaurant_longitude,restaurant_url
特選松竹梅　豪快　純米,要確認,居酒屋・和食,海鮮酒場　うおぷく　梅田店,大阪府大阪市北区堂山町4-12 白馬車ビル３F,050-5861-6095,34.702542,135.5021224,https://www.hotpepper.jp/strJ001292956/
烏龍茶/緑茶/コーラ/ジンジャーエール/カルピス/オレンジジュース/アップルジュース,無料,居酒屋・和食,海鮮酒場　うおぷく　梅田店,大阪府大阪市北区堂山町4-12 白馬車ビル３F,050-5861-6095,34.702542,135.5021224,https://www.hotpepper.jp/strJ001292956/
お湯割、水割、ロック、ウーロン割よりお選びください。※ボトルキープは3ヶ月間とさせていただきます。,-,焼肉・ホルモン・韓国料理,榮華亭　梅田東通り店,大阪府大阪市北区堂山町１０－４　忠兵衛ビル2・3・4F,050-5281-0957,34.7030896,135.5042951,https://www.hotpepper.jp/strJ000061620/
ビール,-,居酒屋・和食,もつ鍋食べ飲み放題居酒屋　もつぞう　３時間食べ飲み放題２７２８円　梅田店,大阪府大阪市北区太融寺町8-17　プラザ梅田ビル４Ｆ　※1Fセブンイレブン左隣の自動扉より4F,050-5280-9506,34.7016977,135.5022882,https://www.hotpepper.jp/strJ001267327/
ビール,-,居酒屋・和食,焼鳥食べ飲み個室居酒屋　絆鳥 ～KIZUNADORI～ ３時間食べ飲み放題２７２８円　梅田店,大阪府大阪市北区太融寺町8-17　プラザ梅田ビル３Ｆ　※新御堂筋側ビル正面入口(1F東梅田薬局が目印)から3F,050-5280-9489,34.7016977,135.5022882,https://www.hotpepper.jp/strJ001267334/
刈穂,-,居酒屋・和食,個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,050-5449-0359,34.7026933,135.5009244,https://www.hotpepper.jp/strJ001227126/
ばくれん,-,居酒屋・和食,個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,050-5449-0359,34.7026933,135.5009244,https://www.hotpepper.jp/strJ001227126/
不動,-,居酒屋・和食,個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,050-5449-0359,34.7026933,135.5009244,https://www.hotpepper.jp/strJ001227126/
来福,-,居酒屋・和食,個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,050-5449-0359,34.7026933,135.5009244,https://www.hotpepper.jp/strJ001227126/
陸奥男山,-,居酒屋・和食,個室 和食 居酒屋 お魚ときどきお肉 梅田店,大阪府大阪市北区小松原町４-６ 加納ビル 3階,050-5449-0359,34.7026933,135.5009244,https://www.hotpepper.jp/strJ001227126/
