name,adress,lat,lng,tel,url,menu,price
東茶屋 なかむら,大阪府 大阪市北区 本庄東 1-25-8,34.7120828,135.5068177,06-6147-3686,https://tabelog.com/osaka/A2701/A270103/27113956/dtlmenu/drink/,NV キュヴェ・シナチュール・ブリュット,9500
東茶屋 なかむら,大阪府 大阪市北区 本庄東 1-25-8,34.7120828,135.5068177,06-6147-3686,https://tabelog.com/osaka/A2701/A270103/27113956/dtlmenu/drink/,NV オーダス・ロゼ・ブリュット,12000
東茶屋 なかむら,大阪府 大阪市北区 本庄東 1-25-8,34.7120828,135.5068177,06-6147-3686,https://tabelog.com/osaka/A2701/A270103/27113956/dtlmenu/drink/,2011 ブジー・ブリュット・ミレジメ,15000
東茶屋 なかむら,大阪府 大阪市北区 本庄東 1-25-8,34.7120828,135.5068177,06-6147-3686,https://tabelog.com/osaka/A2701/A270103/27113956/dtlmenu/drink/,1990 ブリュット・ミレジメ・キュヴェ・メロディ,19000
たけうちうどん店,大阪府 大阪市北区 豊崎 5-2-19,34.7125227,135.4996484,None,https://tabelog.com/osaka/A2701/A270101/27006684/dtlmenu/drink/,ビール(中瓶),500
たけうちうどん店,大阪府 大阪市北区 豊崎 5-2-19,34.7125227,135.4996484,None,https://tabelog.com/osaka/A2701/A270101/27006684/dtlmenu/drink/,チューハイ(レモン),380
たけうちうどん店,大阪府 大阪市北区 豊崎 5-2-19,34.7125227,135.4996484,None,https://tabelog.com/osaka/A2701/A270101/27006684/dtlmenu/drink/,ハイボール,380
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,サントリー「マスターズ・ドリーム」,700
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,【山口】獺祭,900
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,【山形】上喜元 超辛,900
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,【滋賀】松の司 しぼりたて生,900
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,【高知】酔鯨,900
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,【福井】梵,900
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,【奈良】百楽門 どぶろく,900
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,【新潟】洗心,10000
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,【宮城】浦霞 禅,5500
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,【石川】菊姫 平成五年醸造,15000
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,【新潟】 八海山,8500
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,【新潟】久保田 萬寿,7800
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,【石川】手取川 古古酒,9500
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,【山口】獺祭 二割三分,8800
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,【山口】獺祭 しぼりたて生,6500
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,【山口】獺祭 発砲にごり,4800
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,【福井】梵 極秘蔵,8800
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,【広島】竹鶴 三年古酒,8500
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,【山梨】旦 無濾過生原酒,8000
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,【静岡】磯自慢,8000
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,【福島】飛露喜,7500
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,【福井】黒龍 愛山,7500
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,【熊本】香露,6500
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,【大阪】富楼那,6000
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,魔王,900
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,天使の誘惑,850
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,晴耕雨讀,750
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,宝山 芋麹全量,800
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,富乃宝山,700
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,黒霧島,600
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,爆弾のハナタレ,1000
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,万暦,1000
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,たちばな原酒,800
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,なかむら 原酒,800
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,刀,900
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,薩摩の風,600
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,克,600
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,七窪,600
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,きろく,700
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,伊佐美,900
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,吉兆宝山,700
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,山ねこ,700
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,海,700
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,くじら,700
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,夢想仙楽,800
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,中々,700
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,一粒の麦,600
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,兼八,800
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,兼重,800
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,萬屋次兵衛 二五年 原酒,1000
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,野うさぎの走り,800
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,天誅,600
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,大石,700
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,鍛高譚,600
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,里の曙,600
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,昇龍古酒,800
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,琉球古酒,600
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,菊乃露,600
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,ルイ・ロデオール,10000
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,梅酒 純米原酒仕込み,850
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,にごり梅酒,700
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,カシスソーダ,700
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,100％オレンジジュース,350
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,コーラ,300
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,ジンジャーエール,300
どおぞの,大阪府 大阪市北区 曽根崎新地 1-5-6 新地ＶＩＰビル 1F,nan,nan,050-5456-7448,https://tabelog.com/osaka/A2701/A270101/27006599/dtlmenu/drink/,ウーロン茶,300
うどん屋 きすけ,大阪府 大阪市北区 鶴野町 4-1 コープ野村梅田Ａ棟1F,34.708723,135.5015517,None,https://tabelog.com/osaka/A2701/A270101/27015342/dtlmenu/drink/,瓶ビール,500
うどん屋 きすけ,大阪府 大阪市北区 鶴野町 4-1 コープ野村梅田Ａ棟1F,34.708723,135.5015517,None,https://tabelog.com/osaka/A2701/A270101/27015342/dtlmenu/drink/,焼酎（麦・芋）,500
うどん屋 きすけ,大阪府 大阪市北区 鶴野町 4-1 コープ野村梅田Ａ棟1F,34.708723,135.5015517,None,https://tabelog.com/osaka/A2701/A270101/27015342/dtlmenu/drink/,コーラ,300
うどん屋 きすけ,大阪府 大阪市北区 鶴野町 4-1 コープ野村梅田Ａ棟1F,34.708723,135.5015517,None,https://tabelog.com/osaka/A2701/A270101/27015342/dtlmenu/drink/,ジンジャーエール,300
うどん屋 きすけ,大阪府 大阪市北区 鶴野町 4-1 コープ野村梅田Ａ棟1F,34.708723,135.5015517,None,https://tabelog.com/osaka/A2701/A270101/27015342/dtlmenu/drink/,オレンジジュース,300
うどん屋 きすけ,大阪府 大阪市北区 鶴野町 4-1 コープ野村梅田Ａ棟1F,34.708723,135.5015517,None,https://tabelog.com/osaka/A2701/A270101/27015342/dtlmenu/drink/,烏龍茶,300
讃岐うどん 今雪,大阪府 大阪市北区 神山町 3-10 クラウンマエダビル 1F,34.7029999,135.5060683,050-5590-1677,https://tabelog.com/osaka/A2701/A270101/27067874/dtlmenu/drink/,角ハイボール,400
讃岐うどん 今雪,大阪府 大阪市北区 神山町 3-10 クラウンマエダビル 1F,34.7029999,135.5060683,050-5590-1677,https://tabelog.com/osaka/A2701/A270101/27067874/dtlmenu/drink/,ザ・プレミアム・モルツビール,450
讃岐うどん 今雪,大阪府 大阪市北区 神山町 3-10 クラウンマエダビル 1F,34.7029999,135.5060683,050-5590-1677,https://tabelog.com/osaka/A2701/A270101/27067874/dtlmenu/drink/,凱陣(純米吟醸・香川県）,550
讃岐うどん 今雪,大阪府 大阪市北区 神山町 3-10 クラウンマエダビル 1F,34.7029999,135.5060683,050-5590-1677,https://tabelog.com/osaka/A2701/A270101/27067874/dtlmenu/drink/,モエ・エ・シャンドン,10000
讃岐うどん 今雪,大阪府 大阪市北区 神山町 3-10 クラウンマエダビル 1F,34.7029999,135.5060683,050-5590-1677,https://tabelog.com/osaka/A2701/A270101/27067874/dtlmenu/drink/,能勢ジンジャーエール,300
ストライク軒,大阪府 大阪市北区 天神橋 5-8-8,34.7081784,135.5110418,None,https://tabelog.com/osaka/A2701/A270103/27074457/dtlmenu/drink/,チェリオ （オレンジ/グレープ）,150
ストライク軒,大阪府 大阪市北区 天神橋 5-8-8,34.7081784,135.5110418,None,https://tabelog.com/osaka/A2701/A270103/27074457/dtlmenu/drink/,缶ビール,400
御料理 堀川,大阪府 大阪市北区 天満 4-8-17  グレイスイン天満2番館 1F,34.6937135,135.5142022,06-7173-9388,https://tabelog.com/osaka/A2701/A270103/27082677/dtlmenu/drink/,アサヒ ドライプレミアム（中瓶）,800
御料理 堀川,大阪府 大阪市北区 天満 4-8-17  グレイスイン天満2番館 1F,34.6937135,135.5142022,06-7173-9388,https://tabelog.com/osaka/A2701/A270103/27082677/dtlmenu/drink/,アサヒ ドライゼロ（小瓶）,500
御料理 堀川,大阪府 大阪市北区 天満 4-8-17  グレイスイン天満2番館 1F,34.6937135,135.5142022,06-7173-9388,https://tabelog.com/osaka/A2701/A270103/27082677/dtlmenu/drink/,ニッカ竹鶴ノンビンテージ,700
御料理 堀川,大阪府 大阪市北区 天満 4-8-17  グレイスイン天満2番館 1F,34.6937135,135.5142022,06-7173-9388,https://tabelog.com/osaka/A2701/A270103/27082677/dtlmenu/drink/,山崎12年,1400
御料理 堀川,大阪府 大阪市北区 天満 4-8-17  グレイスイン天満2番館 1F,34.6937135,135.5142022,06-7173-9388,https://tabelog.com/osaka/A2701/A270103/27082677/dtlmenu/drink/,I.W.ハーパー12年,1000
御料理 堀川,大阪府 大阪市北区 天満 4-8-17  グレイスイン天満2番館 1F,34.6937135,135.5142022,06-7173-9388,https://tabelog.com/osaka/A2701/A270103/27082677/dtlmenu/drink/,上撰 菊正宗　日本酒度 +5.0,700
