restaurant_name,restaurant_address,restaurant_latitude,restaurant_longitude,restaurant_tel,restaurant_url,drink_name,drink_price
海鮮酒場　うおぷく　梅田店,大阪府大阪市北区堂山町4-12 白馬車ビル３F,34.702542,135.5021224,050-5861-6095,https://www.hotpepper.jp/strJ001292956/,特選松竹梅　豪快　純米,要確認
海鮮酒場　うおぷく　梅田店,大阪府大阪市北区堂山町4-12 白馬車ビル３F,34.702542,135.5021224,050-5861-6095,https://www.hotpepper.jp/strJ001292956/,烏龍茶/緑茶/コーラ/ジンジャーエール/カルピス/オレンジジュース/アップルジュース,無料
榮華亭　梅田東通り店,大阪府大阪市北区堂山町１０－４　忠兵衛ビル2・3・4F,34.7030896,135.5042951,050-5281-0957,https://www.hotpepper.jp/strJ000061620/,お湯割、水割、ロック、ウーロン割よりお選びください。※ボトルキープは3ヶ月間とさせていただきます。,-
肉寿司&野菜巻き串食べ放題　ハッシュタグ　梅田本店,大阪府大阪市北区堂山町4-6 SERビル,34.7023048,135.5022582,050-5352-1755,https://www.hotpepper.jp/strJ001209189/,リッチストロべりー,補足に記入してます
肉寿司&野菜巻き串食べ放題　ハッシュタグ　梅田本店,大阪府大阪市北区堂山町4-6 SERビル,34.7023048,135.5022582,050-5352-1755,https://www.hotpepper.jp/strJ001209189/,リッチマンゴー,補足に記入してます
肉寿司&野菜巻き串食べ放題　ハッシュタグ　梅田本店,大阪府大阪市北区堂山町4-6 SERビル,34.7023048,135.5022582,050-5352-1755,https://www.hotpepper.jp/strJ001209189/,リッチ温州みかん,補足に記入してます
肉寿司&野菜巻き串食べ放題　ハッシュタグ　梅田本店,大阪府大阪市北区堂山町4-6 SERビル,34.7023048,135.5022582,050-5352-1755,https://www.hotpepper.jp/strJ001209189/,リッチ白桃,補足に記入してます
肉寿司&野菜巻き串食べ放題　ハッシュタグ　梅田本店,大阪府大阪市北区堂山町4-6 SERビル,34.7023048,135.5022582,050-5352-1755,https://www.hotpepper.jp/strJ001209189/,リッチいちごみるく,補足に記入してます
肉寿司&野菜巻き串食べ放題　ハッシュタグ　梅田本店,大阪府大阪市北区堂山町4-6 SERビル,34.7023048,135.5022582,050-5352-1755,https://www.hotpepper.jp/strJ001209189/,リッチスノーホワイト,補足に記入してます
食べ放題×飲み放題　喰人（EAT-MAN） 梅田東通り店,大阪府大阪市北区小松原町1-19,34.7025317,135.5011616,050-5828-8728,https://www.hotpepper.jp/strJ000635806/,トリスクラシック　ハイボール（シングル/ダブル）,418円/635
食べ放題×飲み放題　喰人（EAT-MAN） 梅田東通り店,大阪府大阪市北区小松原町1-19,34.7025317,135.5011616,050-5828-8728,https://www.hotpepper.jp/strJ000635806/,トリス　フレーバーハイボール　各種（シングル/ダブル）,各451円/671
食べ放題×飲み放題　喰人（EAT-MAN） 梅田東通り店,大阪府大阪市北区小松原町1-19,34.7025317,135.5011616,050-5828-8728,https://www.hotpepper.jp/strJ000635806/,※ウーロン割り・カットレモン・梅干し,＋各33
食べ放題×飲み放題　喰人（EAT-MAN） 梅田東通り店,大阪府大阪市北区小松原町1-19,34.7025317,135.5011616,050-5828-8728,https://www.hotpepper.jp/strJ000635806/,※濃い目,＋165
食べ放題×飲み放題　喰人（EAT-MAN） 梅田東通り店,大阪府大阪市北区小松原町1-19,34.7025317,135.5011616,050-5828-8728,https://www.hotpepper.jp/strJ000635806/,松竹梅　豪快　（冷 or 燗）,528円/1056
炉端とホルモンと串焼きとおでん とっとっと　梅田お初天神店,大阪府大阪市北区曽根崎２-１３-１７,34.7012873,135.5002629,050-5499-0865,https://www.hotpepper.jp/strJ003365791/,ステッカーを提示で★マークは100円引き！飲み放題の場合は30分延長！,-
炉端とホルモンと串焼きとおでん とっとっと　梅田お初天神店,大阪府大阪市北区曽根崎２-１３-１７,34.7012873,135.5002629,050-5499-0865,https://www.hotpepper.jp/strJ003365791/,[1杯目] 300ccタンブラー [2杯目] 400ccジョッキ [3杯目以降] 500ccジョッキ,-
日本料理＆SKY BAR　ちょうつがひ,大阪府大阪市北区角田町8-47 阪急グランドビル32番街28F,34.7029862,135.4990478,06-6131-2242,https://www.hotpepper.jp/strJ001000918/,カステル・ロック・カヴァ／セントノーレ (G),770～
日本料理＆SKY BAR　ちょうつがひ,大阪府大阪市北区角田町8-47 阪急グランドビル32番街28F,34.7029862,135.4990478,06-6131-2242,https://www.hotpepper.jp/strJ001000918/,バッカネラ／ロダレ　ルージュ／バロンキンズモア カベルネソーヴィニヨン／アバダルレセルバ3.9（G）,770～
日本料理＆SKY BAR　ちょうつがひ,大阪府大阪市北区角田町8-47 阪急グランドビル32番街28F,34.7029862,135.4990478,06-6131-2242,https://www.hotpepper.jp/strJ001000918/,ソプラノ／ロダレ　ブラン／バロンキンズモア　リセルヴァソーヴィニインブラン／アバダルピかポル (G),770～
日本料理＆SKY BAR　ちょうつがひ,大阪府大阪市北区角田町8-47 阪急グランドビル32番街28F,34.7029862,135.4990478,06-6131-2242,https://www.hotpepper.jp/strJ001000918/,カシスオレンジ／ファジーネーブル／キティetc.,715～
日本料理＆SKY BAR　ちょうつがひ,大阪府大阪市北区角田町8-47 阪急グランドビル32番街28F,34.7029862,135.4990478,06-6131-2242,https://www.hotpepper.jp/strJ001000918/,紀土-KID- 純米酒 （和歌山）／八海山（新潟）／播州一献（兵庫）,715～
日本料理＆SKY BAR　ちょうつがひ,大阪府大阪市北区角田町8-47 阪急グランドビル32番街28F,34.7029862,135.4990478,06-6131-2242,https://www.hotpepper.jp/strJ001000918/,もぎたて梅酒／柚子梅酒／鶴梅　完熟にごり梅酒,660～
日本料理＆SKY BAR　ちょうつがひ,大阪府大阪市北区角田町8-47 阪急グランドビル32番街28F,34.7029862,135.4990478,06-6131-2242,https://www.hotpepper.jp/strJ001000918/,【 麦 】/中々/兼八など,715～
日本料理＆SKY BAR　ちょうつがひ,大阪府大阪市北区角田町8-47 阪急グランドビル32番街28F,34.7029862,135.4990478,06-6131-2242,https://www.hotpepper.jp/strJ001000918/,【 芋 】金黒／富乃宝山,715～
日本料理＆SKY BAR　ちょうつがひ,大阪府大阪市北区角田町8-47 阪急グランドビル32番街28F,34.7029862,135.4990478,06-6131-2242,https://www.hotpepper.jp/strJ001000918/,ウーロン茶/コカ・コーラ/ジンジャーエール/オレンジジュース/グレープフルーツジュース,550～
日本料理＆SKY BAR　ちょうつがひ,大阪府大阪市北区角田町8-47 阪急グランドビル32番街28F,34.7029862,135.4990478,06-6131-2242,https://www.hotpepper.jp/strJ001000918/,コーヒー／紅茶,550～
全席個室 楽蔵うたげ 梅田店,大阪府大阪市北区小松原町1-10　梅田パルライフ 8F,34.7021853,135.5007048,050-5831-0200,https://www.hotpepper.jp/strJ000711720/,ウーロンハイ／赤玉パンチ／カルピスサワー　各種,-
全席個室 楽蔵うたげ 梅田店,大阪府大阪市北区小松原町1-10　梅田パルライフ 8F,34.7021853,135.5007048,050-5831-0200,https://www.hotpepper.jp/strJ000711720/,≪レモンサワー≫,-
全席個室 楽蔵うたげ 梅田店,大阪府大阪市北区小松原町1-10　梅田パルライフ 8F,34.7021853,135.5007048,050-5831-0200,https://www.hotpepper.jp/strJ000711720/,≪カシス≫,-
全席個室 楽蔵うたげ 梅田店,大阪府大阪市北区小松原町1-10　梅田パルライフ 8F,34.7021853,135.5007048,050-5831-0200,https://www.hotpepper.jp/strJ000711720/,≪ディタ≫,-
全席個室 楽蔵うたげ 梅田店,大阪府大阪市北区小松原町1-10　梅田パルライフ 8F,34.7021853,135.5007048,050-5831-0200,https://www.hotpepper.jp/strJ000711720/,すっきりおいしい梅酒／紀州の梅酒　各種,-
全席個室 楽蔵うたげ 梅田店,大阪府大阪市北区小松原町1-10　梅田パルライフ 8F,34.7021853,135.5007048,050-5831-0200,https://www.hotpepper.jp/strJ000711720/,≪本醸造　辛口≫　一ノ蔵,-
