name,adress,lat,lng,tel,url,menu,price
IL GHIOTTONE di piu(イルギオットーネ ディピュー),大阪府大阪市北区大深町３番１号グランフロント大阪　北館１階,34.7053446,135.4945926,06-6317-9669,https://www.hotpepper.jp/strJ001042764/,(アイルランド) ギネス,1050
IL GHIOTTONE di piu(イルギオットーネ ディピュー),大阪府大阪市北区大深町３番１号グランフロント大阪　北館１階,34.7053446,135.4945926,06-6317-9669,https://www.hotpepper.jp/strJ001042764/,(ベルギー) ヒューガルデンホワイト,1050
IL GHIOTTONE di piu(イルギオットーネ ディピュー),大阪府大阪市北区大深町３番１号グランフロント大阪　北館１階,34.7053446,135.4945926,06-6317-9669,https://www.hotpepper.jp/strJ001042764/,(日本) サントリー プレミアムモルツ,840
焼肉・韓国料理 KollaBo（コラボ）梅田店,大阪府大阪市北区小松原町2-4 大阪富国生命ビルB2F,34.70217,135.5000915,050-5852-1596,https://www.hotpepper.jp/strJ001294686/,<グラス>アサヒ スーパードライ,528
焼肉・韓国料理 KollaBo（コラボ）梅田店,大阪府大阪市北区小松原町2-4 大阪富国生命ビルB2F,34.70217,135.5000915,050-5852-1596,https://www.hotpepper.jp/strJ001294686/,<グラス>キリン一番搾り,528
串焼き&ワイン　ウナチッタ,大阪府大阪市北区曽根崎２－１０－１９ 河合ビルB１,34.7007326,135.5009073,050-5834-2677,https://www.hotpepper.jp/strJ000973087/,<ドイツビール>ホフブロイ・ミュンヘン ラガーStyle ALC 5.5%,950
焼肉・韓国料理 KollaBo（コラボ）梅田店,大阪府大阪市北区小松原町2-4 大阪富国生命ビルB2F,34.70217,135.5000915,050-5852-1596,https://www.hotpepper.jp/strJ001294686/,<中>アサヒ スーパードライ,638
焼肉・韓国料理 KollaBo（コラボ）梅田店,大阪府大阪市北区小松原町2-4 大阪富国生命ビルB2F,34.70217,135.5000915,050-5852-1596,https://www.hotpepper.jp/strJ001294686/,<中>キリン一番搾り,638
産地直送海鮮　和食　恒雅（つねまさ）　北新地,大阪府大阪市北区曽根崎新地１-5-32 ボネールビル2F,34.6990236,135.5081067,06-6341-7770,https://www.hotpepper.jp/strJ001029415/,<中瓶>アサヒスーパードライ,750
産地直送海鮮　和食　恒雅（つねまさ）　北新地,大阪府大阪市北区曽根崎新地１-5-32 ボネールビル2F,34.6990236,135.5081067,06-6341-7770,https://www.hotpepper.jp/strJ001029415/,<小瓶>アサヒスーパードライ ブラック,550
