name,adress,lat,lng,tel,url,menu,price
茶屋町 まぐろや,大阪府 大阪市北区 芝田 1-15-7,34.7084332,135.4969484,06-6373-3676,https://tabelog.com/osaka/A2701/A270101/27017935/dtlmenu/drink/,1リットル スーパードライ,1000
串焼き&ワイン ウナチッタ,大阪府 大阪市北区 曾根崎2-10-19 河合ビル B1F,34.7006896,135.5008728,050-5869-3208,https://tabelog.com/osaka/A2701/A270101/27058323/dtlmenu/drink/,<ドイツビール>ホフブロイ・ミュンヘン ラガーStyle ALC 5.5%,950
ワインとオマール海老の店 UOMO,大阪府 大阪市北区 梅田 1-1-3 大阪駅前第3ビル  B1F,34.6988257,135.4992804,050-5872-6838,https://tabelog.com/osaka/A2701/A270101/27061208/dtlmenu/drink/,<瓶ビール>サッポロ 赤星 中瓶,550
北瑞苑,大阪府 大阪市北区 曽根崎新地 2-3-21 ａｘビル　３Ｆ,34.6979945,135.4945578,050-5868-3897,https://tabelog.com/osaka/A2701/A270101/27000742/dtlmenu/drink/,<生ビール>アサヒエクストラコールド,935
ワインとオマール海老の店 UOMO,大阪府 大阪市北区 梅田 1-1-3 大阪駅前第3ビル  B1F,34.6988257,135.4992804,050-5872-6838,https://tabelog.com/osaka/A2701/A270101/27061208/dtlmenu/drink/,<生ビール>ザ・プレミアム・モルツ 香るエール,550
THE COSMOPOLITAN GRILL BAR TERRACE,大阪府 大阪市北区 大深町 4-20 グランフロント大阪 南館 9F,34.7053491,135.4945979,050-5595-0903,https://tabelog.com/osaka/A2701/A270101/27072553/dtlmenu/drink/,■キリン一番搾り,900
THE COSMOPOLITAN GRILL BAR TERRACE,大阪府 大阪市北区 大深町 4-20 グランフロント大阪 南館 9F,34.7053491,135.4945979,050-5595-0903,https://tabelog.com/osaka/A2701/A270101/27072553/dtlmenu/drink/,■ギネススタウト,1050
THE COSMOPOLITAN GRILL BAR TERRACE,大阪府 大阪市北区 大深町 4-20 グランフロント大阪 南館 9F,34.7053491,135.4945979,050-5595-0903,https://tabelog.com/osaka/A2701/A270101/27072553/dtlmenu/drink/,■コロナ エキストラ,1000
THE COSMOPOLITAN GRILL BAR TERRACE,大阪府 大阪市北区 大深町 4-20 グランフロント大阪 南館 9F,34.7053491,135.4945979,050-5595-0903,https://tabelog.com/osaka/A2701/A270101/27072553/dtlmenu/drink/,■ハイネケン,1000
THE COSMOPOLITAN GRILL BAR TERRACE,大阪府 大阪市北区 大深町 4-20 グランフロント大阪 南館 9F,34.7053491,135.4945979,050-5595-0903,https://tabelog.com/osaka/A2701/A270101/27072553/dtlmenu/drink/,■バドワイザー,900
万両 東天満店,大阪府 大阪市北区 天満 2-7-25 塩見ビル　１Ｆ,34.6938193,135.5173239,06-6882-0221,https://tabelog.com/osaka/A2701/A270103/27003763/dtlmenu/drink/,★Heineken ハイネケンビール,550
インド料理 MAHARAJA,大阪府 大阪市北区 梅田 1-2-2-B1000 大阪駅前第2ビルB1,34.6989342,135.4979539,050-5869-5835,https://tabelog.com/osaka/A2701/A270101/27005099/dtlmenu/drink/,☆☆☆コロナ時代期間限定  1H飲み放題 790円☆☆☆,790
インド料理 MAHARAJA,大阪府 大阪市北区 梅田 1-2-2-B1000 大阪駅前第2ビルB1,34.6989342,135.4979539,050-5869-5835,https://tabelog.com/osaka/A2701/A270101/27005099/dtlmenu/drink/,☆☆☆コロナ時代期間限定  生ビールなど1杯99円 ☆☆☆,99
広東料理 民生 ヒルトンプラザウエスト店,大阪府 大阪市北区 梅田 2-2-2 ヒルトンプラザウエスト  B2F,34.6999702,135.4952544,050-5570-0315,https://tabelog.com/osaka/A2701/A270101/27006463/dtlmenu/drink/,《瓶ビール》アサヒ スーパードライ(中瓶/500ml),770
広東料理 民生 ヒルトンプラザウエスト店,大阪府 大阪市北区 梅田 2-2-2 ヒルトンプラザウエスト  B2F,34.6999702,135.4952544,050-5570-0315,https://tabelog.com/osaka/A2701/A270101/27006463/dtlmenu/drink/,《瓶ビール》アサヒ プレミアムビール “熟選”(中瓶/500ml),990
広東料理 民生 ヒルトンプラザウエスト店,大阪府 大阪市北区 梅田 2-2-2 ヒルトンプラザウエスト  B2F,34.6999702,135.4952544,050-5570-0315,https://tabelog.com/osaka/A2701/A270101/27006463/dtlmenu/drink/,《瓶ビール》青島ビール(小瓶/330ml),726
広東料理 民生 ヒルトンプラザウエスト店,大阪府 大阪市北区 梅田 2-2-2 ヒルトンプラザウエスト  B2F,34.6999702,135.4952544,050-5570-0315,https://tabelog.com/osaka/A2701/A270101/27006463/dtlmenu/drink/,《生ビール》アサヒ スーパードライ(中),748
広東料理 民生 ヒルトンプラザウエスト店,大阪府 大阪市北区 梅田 2-2-2 ヒルトンプラザウエスト  B2F,34.6999702,135.4952544,050-5570-0315,https://tabelog.com/osaka/A2701/A270101/27006463/dtlmenu/drink/,《生ビール》アサヒ スーパードライ(小),528
肉太郎 梅田第3ビル店,大阪府 大阪市北区 梅田 1-1-3 大阪駅前第3ビル  B1F,34.6988257,135.4992804,050-5589-2617,https://tabelog.com/osaka/A2701/A270101/27077885/dtlmenu/drink/,【樽生】アサヒスーパードライ(中),380
ケラケラ クランツ,大阪府 大阪市北区 小松原町 2-4 大阪富国生命ビル　B2F,34.70217,135.5000915,050-5868-2965,https://tabelog.com/osaka/A2701/A270101/27053066/dtlmenu/drink/,【樽生】ヒューガルデン・ホワイト,1000
