drink_name,drink_price,restaurant_genre,restaurant_name,restaurant_address,restaurant_tel,restaurant_latitude,restaurant_longitude,restaurant_url
ザ・プレミアム・モルツ　生中,570,焼肉・ホルモン・韓国料理,焼肉六甲　梅田茶屋町店 食べ放題,大阪府大阪市北区茶屋町15-30ＳＭＫ梅田ビル2F,050-5841-6559,,,https://www.hotpepper.jp/strJ001258763/
瓶ビール,570,焼肉・ホルモン・韓国料理,焼肉六甲　梅田茶屋町店 食べ放題,大阪府大阪市北区茶屋町15-30ＳＭＫ梅田ビル2F,050-5841-6559,,,https://www.hotpepper.jp/strJ001258763/
角ハイボール,520,焼肉・ホルモン・韓国料理,焼肉六甲　梅田茶屋町店 食べ放題,大阪府大阪市北区茶屋町15-30ＳＭＫ梅田ビル2F,050-5841-6559,,,https://www.hotpepper.jp/strJ001258763/
角ジンジャー/角コーラ/角ハイ梅/角ハイゆず,550,焼肉・ホルモン・韓国料理,焼肉六甲　梅田茶屋町店 食べ放題,大阪府大阪市北区茶屋町15-30ＳＭＫ梅田ビル2F,050-5841-6559,,,https://www.hotpepper.jp/strJ001258763/
メガ角ハイ,840,焼肉・ホルモン・韓国料理,焼肉六甲　梅田茶屋町店 食べ放題,大阪府大阪市北区茶屋町15-30ＳＭＫ梅田ビル2F,050-5841-6559,,,https://www.hotpepper.jp/strJ001258763/
角ハイ濃いめ,620,焼肉・ホルモン・韓国料理,焼肉六甲　梅田茶屋町店 食べ放題,大阪府大阪市北区茶屋町15-30ＳＭＫ梅田ビル2F,050-5841-6559,,,https://www.hotpepper.jp/strJ001258763/
ジムビームハイボール,490,焼肉・ホルモン・韓国料理,焼肉六甲　梅田茶屋町店 食べ放題,大阪府大阪市北区茶屋町15-30ＳＭＫ梅田ビル2F,050-5841-6559,,,https://www.hotpepper.jp/strJ001258763/
ジムビームジンジャー/ジムビームコーラ/ジムビームハイ梅/ジムビームハイゆず,520,焼肉・ホルモン・韓国料理,焼肉六甲　梅田茶屋町店 食べ放題,大阪府大阪市北区茶屋町15-30ＳＭＫ梅田ビル2F,050-5841-6559,,,https://www.hotpepper.jp/strJ001258763/
メガジムビームハイボール,800,焼肉・ホルモン・韓国料理,焼肉六甲　梅田茶屋町店 食べ放題,大阪府大阪市北区茶屋町15-30ＳＭＫ梅田ビル2F,050-5841-6559,,,https://www.hotpepper.jp/strJ001258763/
チューハイ各種,460,焼肉・ホルモン・韓国料理,焼肉六甲　梅田茶屋町店 食べ放題,大阪府大阪市北区茶屋町15-30ＳＭＫ梅田ビル2F,050-5841-6559,,,https://www.hotpepper.jp/strJ001258763/
トマトサワー,490,焼肉・ホルモン・韓国料理,焼肉六甲　梅田茶屋町店 食べ放題,大阪府大阪市北区茶屋町15-30ＳＭＫ梅田ビル2F,050-5841-6559,,,https://www.hotpepper.jp/strJ001258763/
白いサワー,490,焼肉・ホルモン・韓国料理,焼肉六甲　梅田茶屋町店 食べ放題,大阪府大阪市北区茶屋町15-30ＳＭＫ梅田ビル2F,050-5841-6559,,,https://www.hotpepper.jp/strJ001258763/
